         nH         pok         xH2        xHII          xe      chi_pe      chi_lw      chi_h2      chi_ci       xi_cr     nLambda       Gamma 
5.62341e+01 5.55375e+03 3.45390e-05 3.20108e-04 4.79632e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 8.74416e-26 8.74416e-26 
6.30957e+01 5.84535e+03 3.82611e-05 2.78138e-04 4.37578e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 8.84957e-26 8.84957e-26 
7.07946e+01 6.16865e+03 4.23708e-05 2.41398e-04 4.00745e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 8.96281e-26 8.96281e-26 
7.94328e+01 6.52631e+03 4.69125e-05 2.09270e-04 3.68512e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 9.08442e-26 9.08441e-26 
8.91251e+01 6.92138e+03 5.19359e-05 1.81207e-04 3.40333e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 9.21484e-26 9.21484e-26 
1.00000e+02 7.35730e+03 5.74963e-05 1.56733e-04 3.15726e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 9.35444e-26 9.35443e-26 
1.12202e+02 7.83794e+03 6.36553e-05 1.35424e-04 2.94265e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 9.50344e-26 9.50344e-26 
1.25893e+02 8.36762e+03 7.04818e-05 1.16905e-04 2.75573e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 9.66195e-26 9.66195e-26 
1.41254e+02 8.95119e+03 7.80524e-05 1.00842e-04 2.59310e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 9.82992e-26 9.82992e-26 
1.58489e+02 9.59405e+03 8.64530e-05 8.69392e-05 2.45176e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 1.00072e-25 1.00072e-25 
1.77828e+02 1.03023e+04 9.57794e-05 7.49297e-05 2.32899e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 1.01934e-25 1.01934e-25 
1.99526e+02 1.10827e+04 1.06139e-04 6.45767e-05 2.22237e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 1.03882e-25 1.03882e-25 
2.23872e+02 1.19429e+04 1.17651e-04 5.56670e-05 2.12969e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 1.05912e-25 1.05912e-25 
2.51189e+02 1.28917e+04 1.30451e-04 4.80114e-05 2.04898e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 1.08019e-25 1.08019e-25 
2.81838e+02 1.39389e+04 1.44689e-04 4.14409e-05 1.97847e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 1.10200e-25 1.10200e-25 
3.16228e+02 1.50958e+04 1.60537e-04 3.58063e-05 1.91657e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 1.12453e-25 1.12453e-25 
3.54813e+02 1.63753e+04 1.78186e-04 3.09762e-05 1.86186e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 1.14778e-25 1.14778e-25 
3.98107e+02 1.77920e+04 1.97851e-04 2.68356e-05 1.81309e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 1.17177e-25 1.17177e-25 
